Country Name,Country Code,Year,Progression,SlumPopulation,Region
Mauritania,MRT,2004,54.31,77.94,Sub-Saharan Africa
Mauritius,MUS,2004,82.1,72.36,Sub-Saharan Africa
Mexico,MEX,2004,94.29,28.73,Latin America & Caribbean
Moldova,MDA,2004,98.76,20.8,Europe & Central Asia
Mozambique,MOZ,2004,59.49,83.07,Sub-Saharan Africa
Namibia,NAM,2004,91.59,42.26,Sub-Saharan Africa
Niger,NER,2004,74.49,70.15,Sub-Saharan Africa
North Macedonia,MKD,2004,99.56,1.3,Europe & Central Asia
Norway,NOR,2004,99.86,0.0,Europe & Central Asia
Pakistan,PAK,2004,71.83,68.17,Middle East & North Africa
Panama,PAN,2004,65.31,40.05,Latin America & Caribbean
Paraguay,PRY,2004,90.23,36.03,Latin America & Caribbean
Peru,PER,2004,98.36,43.72,Latin America & Caribbean
Philippines,PHL,2004,92.28,47.16,East Asia & Pacific
Poland,POL,2004,100.0,1.55,Europe & Central Asia
Romania,ROU,2004,99.65,3.65,Europe & Central Asia
Samoa,WSM,2004,98.31,4.55,East Asia & Pacific
Sao Tome and Principe,STP,2004,78.6,61.4,Sub-Saharan Africa
Senegal,SEN,2004,64.53,60.04,Sub-Saharan Africa
Seychelles,SYC,2004,99.89,72.36,Sub-Saharan Africa
Slovak Republic,SVK,2004,99.96,0.05,Europe & Central Asia
St. Lucia,LCA,2004,71.03,4.5,Latin America & Caribbean
Switzerland,CHE,2004,99.85,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2004,98.46,31.31,Middle East & North Africa
Tanzania,TZA,2004,33.19,72.81,Sub-Saharan Africa
Togo,TGO,2004,79.82,62.79,Sub-Saharan Africa
Trinidad and Tobago,TTO,2004,95.77,11.06,Latin America & Caribbean
Turkiye,TUR,2004,97.72,21.79,Europe & Central Asia
Uganda,UGA,2004,41.69,75.52,Sub-Saharan Africa
United Arab Emirates,ARE,2004,99.23,0.95,Middle East & North Africa
Uruguay,URY,2004,82.04,23.68,Latin America & Caribbean
Uzbekistan,UZB,2004,99.59,23.97,Europe & Central Asia
"Venezuela, RB",VEN,2004,99.8,25.7,Latin America & Caribbean
West Bank and Gaza,PSE,2004,99.24,30.0,Middle East & North Africa
"Yemen, Rep.",YEM,2004,87.11,58.57,Middle East & North Africa
Zambia,ZMB,2004,64.58,60.68,Sub-Saharan Africa
Albania,ALB,2006,98.39,20.5,Europe & Central Asia
Algeria,DZA,2006,93.24,30.8,Middle East & North Africa
Argentina,ARG,2006,94.96,18.11,Latin America & Caribbean
Armenia,ARM,2006,99.32,11.33,Europe & Central Asia
Aruba,ABW,2006,97.76,0.0,Latin America & Caribbean
Azerbaijan,AZE,2006,99.08,32.93,Europe & Central Asia
Belize,BLZ,2006,94.93,15.75,Latin America & Caribbean
Bhutan,BTN,2006,97.85,55.27,South Asia
Botswana,BWA,2006,97.66,52.32,Sub-Saharan Africa
Brunei Darussalam,BRN,2006,99.18,32.36,East Asia & Pacific
Bulgaria,BGR,2006,97.72,0.1,Europe & Central Asia
Burkina Faso,BFA,2006,66.92,65.51,Sub-Saharan Africa
Cabo Verde,CPV,2006,92.81,63.83,Sub-Saharan Africa
Cambodia,KHM,2006,81.57,67.9,East Asia & Pacific
Cameroon,CMR,2006,44.92,55.56,Sub-Saharan Africa
Cayman Islands,CYM,2006,91.78,4.15,Latin America & Caribbean
Colombia,COL,2006,99.8,17.14,Latin America & Caribbean
Costa Rica,CRI,2006,96.71,9.95,Latin America & Caribbean
Cote d'Ivoire,CIV,2006,70.73,62.45,Sub-Saharan Africa
Croatia,HRV,2006,99.58,0.35,Europe & Central Asia
Cuba,CUB,2006,98.49,3.2,Latin America & Caribbean
Cyprus,CYP,2006,99.15,0.25,Europe & Central Asia
Czechia,CZE,2006,99.27,0.05,Europe & Central Asia
Denmark,DNK,2006,96.76,0.0,Europe & Central Asia
Dominican Republic,DOM,2006,98.83,23.07,Latin America & Caribbean
Ecuador,ECU,2006,79.1,57.8,Latin America & Caribbean
El Salvador,SLV,2006,95.01,46.49,Latin America & Caribbean
Eritrea,ERI,2006,85.27,69.89,Sub-Saharan Africa
Ethiopia,ETH,2006,95.47,82.89,Sub-Saharan Africa
Finland,FIN,2006,99.91,0.0,Europe & Central Asia
"Gambia, The",GMB,2006,96.76,51.51,Sub-Saharan Africa
Georgia,GEO,2006,100.0,12.45,Europe & Central Asia
Germany,DEU,2006,99.32,0.0,Europe & Central Asia
Greece,GRC,2006,97.15,0.2,Europe & Central Asia
Guatemala,GTM,2006,93.28,48.79,Latin America & Caribbean
Guinea,GIN,2006,80.51,43.17,Sub-Saharan Africa
Hungary,HUN,2006,99.62,11.6,Europe & Central Asia
Iceland,ISL,2006,99.77,0.0,Europe & Central Asia
Indonesia,IDN,2006,98.94,30.16,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2006,96.12,55.27,Middle East & North Africa
Italy,ITA,2006,99.68,0.02,Europe & Central Asia
Kazakhstan,KAZ,2006,99.99,16.11,Europe & Central Asia
"Korea, Rep.",KOR,2006,98.86,12.8,East Asia & Pacific
Kyrgyz Republic,KGZ,2006,99.01,33.74,Europe & Central Asia
Lao PDR,LAO,2006,81.04,44.1,East Asia & Pacific
Lebanon,LBN,2006,96.91,92.41,Middle East & North Africa
Lesotho,LSO,2006,76.25,54.47,Sub-Saharan Africa
Lithuania,LTU,2006,99.22,2.85,Europe & Central Asia
Madagascar,MDG,2006,75.01,84.23,Sub-Saharan Africa
Malawi,MWI,2006,84.89,70.87,Sub-Saharan Africa
Mali,MLI,2006,86.33,71.29,Sub-Saharan Africa
Malta,MLT,2006,97.58,0.04,Middle East & North Africa
Marshall Islands,MHL,2006,93.47,2.0,East Asia & Pacific
Mauritania,MRT,2006,60.79,74.56,Sub-Saharan Africa
Mauritius,MUS,2006,86.32,69.89,Sub-Saharan Africa
Mexico,MEX,2006,94.7,27.02,Latin America & Caribbean
Moldova,MDA,2006,98.93,18.0,Europe & Central Asia
Morocco,MAR,2006,86.57,24.79,Middle East & North Africa
Mozambique,MOZ,2006,65.69,79.55,Sub-Saharan Africa
Myanmar,MMR,2006,72.84,39.03,East Asia & Pacific
Niger,NER,2006,52.62,70.21,Sub-Saharan Africa
North Macedonia,MKD,2006,99.52,1.15,Europe & Central Asia
Norway,NOR,2006,99.64,0.0,Europe & Central Asia
Pakistan,PAK,2006,78.72,66.65,Middle East & North Africa
Panama,PAN,2006,98.88,35.74,Latin America & Caribbean
Paraguay,PRY,2006,88.37,33.04,Latin America & Caribbean
Peru,PER,2006,97.96,41.87,Latin America & Caribbean
Philippines,PHL,2006,98.05,45.76,East Asia & Pacific
Poland,POL,2006,100.0,1.25,Europe & Central Asia
Samoa,WSM,2006,98.2,3.9,East Asia & Pacific
Senegal,SEN,2006,78.61,56.49,Sub-Saharan Africa
Serbia,SRB,2006,99.57,0.6,Europe & Central Asia
Slovak Republic,SVK,2006,99.34,0.05,Europe & Central Asia
Sri Lanka,LKA,2006,99.45,55.27,South Asia
Suriname,SUR,2006,55.0,9.94,Latin America & Caribbean
Sweden,SWE,2006,99.91,0.25,Europe & Central Asia
Switzerland,CHE,2006,99.77,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2006,98.35,30.44,Middle East & North Africa
Turkiye,TUR,2006,98.91,20.4,Europe & Central Asia
Uganda,UGA,2006,64.49,72.83,Sub-Saharan Africa
Ukraine,UKR,2006,99.76,3.9,Europe & Central Asia
United Arab Emirates,ARE,2006,99.63,0.95,Middle East & North Africa
Uruguay,URY,2006,78.53,19.95,Latin America & Caribbean
Uzbekistan,UZB,2006,99.81,21.19,Europe & Central Asia
"Venezuela, RB",VEN,2006,99.25,25.7,Latin America & Caribbean
West Bank and Gaza,PSE,2006,99.37,29.07,Middle East & North Africa
Zambia,ZMB,2006,66.57,59.13,Sub-Saharan Africa
Albania,ALB,2008,99.22,17.9,Europe & Central Asia
Angola,AGO,2008,40.82,31.92,Sub-Saharan Africa
Argentina,ARG,2008,95.31,17.39,Latin America & Caribbean
Aruba,ABW,2008,98.6,0.0,Latin America & Caribbean
Azerbaijan,AZE,2008,99.19,26.93,Europe & Central Asia
Belize,BLZ,2008,96.39,15.75,Latin America & Caribbean
Bhutan,BTN,2008,98.17,54.48,South Asia
Brunei Darussalam,BRN,2008,99.49,30.57,East Asia & Pacific
Bulgaria,BGR,2008,97.92,0.15,Europe & Central Asia
Burkina Faso,BFA,2008,73.19,59.95,Sub-Saharan Africa
Burundi,BDI,2008,62.71,66.32,Sub-Saharan Africa
Cabo Verde,CPV,2008,93.46,61.43,Sub-Saharan Africa
Cameroon,CMR,2008,51.29,52.29,Sub-Saharan Africa
Central African Republic,CAF,2008,62.54,74.6,Sub-Saharan Africa
Colombia,COL,2008,99.66,15.8,Latin America & Caribbean
"Congo, Rep.",COG,2008,71.22,72.23,Sub-Saharan Africa
Costa Rica,CRI,2008,94.57,9.04,Latin America & Caribbean
Cote d'Ivoire,CIV,2008,68.76,60.91,Sub-Saharan Africa
Croatia,HRV,2008,99.39,0.35,Europe & Central Asia
Cuba,CUB,2008,98.6,4.25,Latin America & Caribbean
Cyprus,CYP,2008,99.99,0.25,Europe & Central Asia
Czechia,CZE,2008,99.73,0.05,Europe & Central Asia
Denmark,DNK,2008,99.79,0.0,Europe & Central Asia
Dominican Republic,DOM,2008,95.3,20.7,Latin America & Caribbean
El Salvador,SLV,2008,97.29,40.49,Latin America & Caribbean
Eritrea,ERI,2008,92.23,67.41,Sub-Saharan Africa
Estonia,EST,2008,99.43,0.1,Europe & Central Asia
Ethiopia,ETH,2008,90.64,79.79,Sub-Saharan Africa
Fiji,FJI,2008,96.3,13.5,East Asia & Pacific
Finland,FIN,2008,99.88,0.0,Europe & Central Asia
Georgia,GEO,2008,98.87,11.68,Europe & Central Asia
Ghana,GHA,2008,95.75,46.93,Sub-Saharan Africa
Guatemala,GTM,2008,98.75,46.55,Latin America & Caribbean
Guinea,GIN,2008,58.76,44.0,Sub-Saharan Africa
Guyana,GUY,2008,93.9,22.02,Latin America & Caribbean
Hungary,HUN,2008,99.66,10.4,Europe & Central Asia
Iceland,ISL,2008,99.78,0.0,Europe & Central Asia
Indonesia,IDN,2008,92.05,28.51,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2008,99.37,54.48,Middle East & North Africa
Italy,ITA,2008,99.94,0.02,Europe & Central Asia
Kazakhstan,KAZ,2008,99.84,13.32,Europe & Central Asia
Kyrgyz Republic,KGZ,2008,99.6,29.27,Europe & Central Asia
Lao PDR,LAO,2008,82.71,40.7,East Asia & Pacific
Latvia,LVA,2008,99.23,1.85,Europe & Central Asia
Lebanon,LBN,2008,95.06,67.3,Middle East & North Africa
Lesotho,LSO,2008,84.73,50.34,Sub-Saharan Africa
Liberia,LBR,2008,80.73,72.81,Sub-Saharan Africa
Lithuania,LTU,2008,99.33,2.4,Europe & Central Asia
Madagascar,MDG,2008,73.3,81.83,Sub-Saharan Africa
Malawi,MWI,2008,84.14,67.35,Sub-Saharan Africa
Maldives,MDV,2008,96.24,40.98,South Asia
Mali,MLI,2008,84.8,67.1,Sub-Saharan Africa
Marshall Islands,MHL,2008,90.87,1.65,East Asia & Pacific
Mauritania,MRT,2008,39.31,71.19,Sub-Saharan Africa
Mauritius,MUS,2008,84.74,67.41,Sub-Saharan Africa
Mexico,MEX,2008,94.87,25.3,Latin America & Caribbean
Moldova,MDA,2008,98.15,15.1,Europe & Central Asia
Morocco,MAR,2008,87.05,22.0,Middle East & North Africa
Mozambique,MOZ,2008,60.24,76.04,Sub-Saharan Africa
Namibia,NAM,2008,93.9,41.96,Sub-Saharan Africa
Niger,NER,2008,58.72,70.27,Sub-Saharan Africa
North Macedonia,MKD,2008,98.68,1.0,Europe & Central Asia
Norway,NOR,2008,99.77,0.0,Europe & Central Asia
Pakistan,PAK,2008,74.95,65.12,Middle East & North Africa
Panama,PAN,2008,98.05,31.43,Latin America & Caribbean
Paraguay,PRY,2008,90.13,30.04,Latin America & Caribbean
Peru,PER,2008,97.63,40.02,Latin America & Caribbean
Philippines,PHL,2008,98.89,44.35,East Asia & Pacific
Poland,POL,2008,99.36,0.85,Europe & Central Asia
Romania,ROU,2008,99.43,3.25,Europe & Central Asia
Russian Federation,RUS,2008,100.0,3.3,Europe & Central Asia
Sao Tome and Principe,STP,2008,75.36,60.4,Sub-Saharan Africa
Senegal,SEN,2008,71.83,52.93,Sub-Saharan Africa
Serbia,SRB,2008,99.36,0.55,Europe & Central Asia
Seychelles,SYC,2008,98.25,67.41,Sub-Saharan Africa
Singapore,SGP,2008,90.83,0.0,East Asia & Pacific
Slovak Republic,SVK,2008,99.39,0.05,Europe & Central Asia
Sri Lanka,LKA,2008,97.35,54.48,South Asia
St. Lucia,LCA,2008,97.6,3.35,Latin America & Caribbean
Suriname,SUR,2008,56.42,10.78,Latin America & Caribbean
Sweden,SWE,2008,99.78,0.2,Europe & Central Asia
Switzerland,CHE,2008,99.68,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2008,97.68,28.53,Middle East & North Africa
Tanzania,TZA,2008,47.56,64.3,Sub-Saharan Africa
Timor-Leste,TLS,2008,89.65,54.0,East Asia & Pacific
Trinidad and Tobago,TTO,2008,94.33,9.5,Latin America & Caribbean
Tunisia,TUN,2008,94.44,10.4,Middle East & North Africa
Turkiye,TUR,2008,98.22,19.01,Europe & Central Asia
Uganda,UGA,2008,63.43,70.15,Sub-Saharan Africa
Ukraine,UKR,2008,99.77,3.2,Europe & Central Asia
Uruguay,URY,2008,82.26,16.22,Latin America & Caribbean
Uzbekistan,UZB,2008,99.48,18.41,Europe & Central Asia
West Bank and Gaza,PSE,2008,97.11,27.16,Middle East & North Africa
Zambia,ZMB,2008,74.52,57.57,Sub-Saharan Africa
Belarus,BLR,2009,98.55,0.0,Europe & Central Asia
